Customer_ID,Full_Name,NIC_Number,Gender,Date_of_Birth,Age,District,Province,Urban_Rural,Customer_Segment,Account_Open_Date,Customer_Tenure_Years,Savings_Balance,Monthly_Deposit_Avg,Monthly_Withdrawal_Avg,Net_Monthly_Flow,Account_Status,Interest_Rate_Tier,Has_Loan,Loan_Type,Loan_Amount,Loan_Tenure_Months,Monthly_Repayment_Amount,Loan_Repayment_Status,Loan_Start_Date,Outstanding_Loan_Balance,Mobile_App_User,Last_Login_Date,Monthly_Transaction_Count,Preferred_Channel,Push_Notification_Enabled,KYC_Status,KYC_Last_Updated,Suspicious_Activity_Flag,PEP_Flag,Has_Fixed_Deposit,FD_Amount,Has_Insurance,Has_Mobile_Wallet,Number_of_Products,Acquisition_Channel,Referral_Source,Last_Campaign_Response,Promo_Code_Used,Age_Band,Debt_to_Savings,Savings_Growing,CrossSell_Opportunity,High_Risk_Flag
FSL-0011,Joshua Mitchell,862063426V,Male,1986-07-25,37,Kurunegala,North Western,Urban,Regular,2023-12-05,2.4,778313.09,17429.3,8970.61,8458.689999999999,Active,Silver,No,,,,,,,,Yes,2023-10-22,28,Branch,No,Verified,2020-11-28,No,No,No,,Yes,No,2,Referral,,Ignored,No,35-44,,True,False,False
FSL-0012,Nancy Moore,011672771V,Male,2001-06-16,22,Kurunegala,North Western,Rural,Starter,2017-06-30,8.8,33938.06,2548.99,1299.46,1249.5299999999997,Inactive,Standard,No,,,,,,,,Yes,2023-11-16,14,Agent,Yes,Expired,2021-07-25,No,No,No,,No,Yes,2,Digital,Friend,Unsubscribed,No,18-24,,True,True,False
FSL-0013,Margaret Williams,962798119V,Male,1996-10-05,27,Jaffna,Northern,Suburban,Regular,2021-10-19,4.5,787703.96,21219.76,17818.29,3401.4699999999975,Active,Silver,Yes,Business,54989.27,60.0,1008.14,Delayed,2023-11-17,39948.72,Yes,2023-09-19,6,Online,No,Verified,2020-09-12,No,No,No,,No,Yes,3,Referral,,Responded,No,25-34,0.0507153982061992,True,True,False
FSL-0014,Laura Stewart,972235930V,Male,1997-08-11,26,Kurunegala,North Western,Suburban,Premium,2018-03-21,8.1,1445822.08,97080.49,64461.15,32619.340000000004,Active,Gold,Yes,Housing,1557963.29,24.0,71406.65,Delayed,2021-05-26,838393.34,Yes,2023-08-25,7,Branch,No,Verified,2021-02-11,No,No,No,,No,No,2,Agent,,Unsubscribed,No,25-34,0.5798731058250265,True,True,False
FSL-0015,Cynthia Hall,808463417V,Female,1980-12-11,43,Colombo,Western,Rural,Starter,2016-03-12,10.1,117870.96,3905.12,3055.62,849.5,Active,Standard,No,,,,,,,,Yes,2023-07-02,31,Branch,No,Verified,2023-02-18,No,No,No,,No,No,1,Agent,,Ignored,Yes,35-44,,True,True,False
FSL-0016,,815335543V,Female,1981-02-02,42,Badulla,Uva,Suburban,Regular,2019-12-07,6.4,80437.02,2987.73,1383.41,1604.32,Active,Standard,No,,,,,,,,Yes,2023-07-30,26,Branch,No,Verified,2022-04-14,No,No,Yes,1682493.22,No,No,2,Digital,,Ignored,Yes,35-44,,True,False,False
FSL-0017,Stephanie Allen,887929818V,Female,1988-10-18,35,Badulla,Uva,Rural,Starter,2020-06-22,5.9,36816.14,1699.07,539.31,1159.76,Active,Standard,No,,,,,,,,Yes,2023-07-13,31,Branch,No,Verified,2022-03-17,No,No,Yes,914364.26,No,Yes,3,Referral,,Ignored,No,35-44,,True,False,False
FSL-0018,Melissa Bell,826767906V,Male,1982-06-25,41,Matara,Southern,Rural,Regular,2023-05-27,2.9,440746.86,35257.31,17980.39,17276.92,Active,Silver,No,,,,,,,,No,,0,Branch,Yes,Verified,2020-11-08,No,No,Yes,1900738.34,No,Yes,3,Referral,Family,Ignored,No,35-44,,True,False,False
FSL-0019,Mark Murphy,833492771V,Male,1983-12-15,40,Trincomalee,Eastern,Urban,Regular,2022-08-06,3.7,728260.4,30964.48,26780.63,4183.8499999999985,Active,Silver,No,,,,,,,,No,,1,App,No,Verified,2023-11-02,No,No,No,,No,Yes,2,Agent,,Ignored,No,35-44,,True,True,False
FSL-0020,Melissa Smith,918622729V,Female,1991-12-28,32,Kurunegala,North Western,Rural,Regular,2020-02-27,6.2,571700.74,26372.11,19522.67,6849.440000000002,Suspended,Silver,Yes,Business,1421377.63,60.0,26058.59,On-Time,2021-07-13,1145802.88,Yes,2023-09-24,17,Agent,No,Verified,2021-11-19,Yes,No,Yes,503027.72,No,Yes,4,Referral,,Responded,No,25-34,2.0042004493469783,True,False,False
FSL-0021,Christopher Martin,918354937V,Female,1991-12-01,32,Ratnapura,Sabaragamuwa,Suburban,Regular,2023-11-22,2.4,33449.74,1259.52,683.47,576.05,Active,Standard,No,,,,,,,,Yes,2023-10-20,35,Online,Yes,Unknown,2021-11-08,No,No,No,,Yes,No,2,Referral,Friend,Ignored,No,25-34,,True,False,False
FSL-0022,Linda Jackson,912645530V,Male,1991-09-21,32,Trincomalee,Eastern,Rural,Regular,2018-03-05,8.2,784798.29,54902.68,26229.64,28673.04,Active,Silver,Yes,Housing,859218.41,12.0,78761.69,On-Time,2019-08-04,551780.79,No,,0,App,No,Verified,2022-06-21,No,No,Yes,1737273.63,Yes,Yes,5,Agent,Friend,Ignored,No,25-34,0.7030861267549398,True,False,False
FSL-0023,Joshua Anderson,738005066V,Female,1973-10-27,50,Gampaha,Western,Suburban,Regular,2021-09-07,4.6,448866.68,21358.31,13104.25,8254.060000000001,Active,Silver,Yes,Business,950871.72,60.0,17432.65,On-Time,2023-10-04,175291.81,No,,5,Branch,Yes,Verified,2021-05-06,No,No,Yes,955957.04,No,Yes,4,Branch,Colleague,Ignored,No,45-54,0.39052087804779806,True,False,False
FSL-0024,Jeffrey Jones,813174241V,Male,1981-11-13,42,Kurunegala,North Western,Urban,Regular,2016-09-02,9.7,728560.93,50706.29,17384.44,33321.850000000006,Active,Silver,Yes,Vehicle,1345502.67,48.0,30834.44,Delayed,2021-03-08,1212667.66,Yes,2023-10-05,30,App,No,Expired,2021-10-22,No,Yes,Yes,1381166.9,No,No,3,Digital,,Ignored,No,35-44,1.6644697925264806,True,False,False
FSL-0025,Jennifer Baker,826753973V,Female,1982-06-24,41,Trincomalee,Eastern,Suburban,Starter,2016-01-09,10.3,73151.51,3255.31,1603.68,1651.6299999999999,Active,Standard,Yes,Business,2096337.34,36.0,64054.75,Delayed,2020-07-06,1659316.26,Yes,2023-09-25,7,Online,Yes,Verified,2022-04-07,No,No,Yes,1751798.22,No,Yes,4,Referral,,Ignored,No,35-44,22.68328104231888,True,False,False
FSL-0026,Richard White,947333146V,Female,1994-08-21,29,Colombo,Western,Suburban,Regular,2016-05-12,10.0,42518.17,2457.61,1915.92,541.69,Active,Standard,Yes,Personal,1679141.66,12.0,153921.32,On-Time,2017-08-19,826525.09,Yes,2023-12-31,11,Agent,No,Verified,2023-12-15,No,No,No,,Yes,No,3,Agent,Family,Unsubscribed,No,25-34,19.43933828760739,True,False,False
FSL-0027,Paul Jones,887256568V,Female,1988-08-12,35,Badulla,Uva,Urban,Premium,2023-02-21,3.2,1843501.32,101791.25,91545.09,10246.160000000003,Active,Gold,Yes,Business,1068115.63,60.0,19582.12,Delayed,2023-09-02,520218.16,Yes,2023-07-19,17,Agent,Yes,Pending,2020-03-30,No,No,No,,No,No,2,Branch,,Unsubscribed,Yes,35-44,0.28219028343304897,True,True,False
FSL-0028,Amanda Miller,746739617V,Female,1974-06-22,49,Ratnapura,Sabaragamuwa,Urban,Premium,2022-05-05,4.0,4864805.57,119137.6,91606.71,27530.89,Active,Gold,No,,,,,,,,Yes,2023-06-21,23,Agent,No,Verified,2022-09-26,No,No,Yes,1299205.93,No,No,2,Digital,,Unsubscribed,No,45-54,,True,False,False
FSL-0029,Matthew Adams,010485906V,Male,2001-02-17,22,Colombo,Western,Urban,Unknown,2018-04-16,8.0,,13734.09,6132.52,7601.57,Active,Silver,No,,,,,,,,Yes,2023-07-15,7,Agent,No,Verified,2023-04-09,No,No,Yes,585120.75,Yes,No,3,Referral,,Ignored,Yes,18-24,,True,False,False
FSL-0030,Deborah Turner,987427951V,Female,1998-08-30,25,Matara,Southern,Suburban,Regular,2019-04-25,7.0,685601.66,18099.33,9571.26,8528.070000000002,Active,Silver,Yes,Vehicle,114721.81,48.0,2629.04,On-Time,2022-06-27,95827.96,No,,0,Agent,No,Expired,2021-04-16,No,No,No,,No,No,2,Branch,,Responded,No,25-34,0.13977206531267733,True,True,False
FSL-0031,David Allen,716826977V,Female,1971-07-01,52,Kandy,Central,Urban,Regular,2023-05-20,2.9,448866.68,11027.37,8512.11,2515.26,Inactive,Silver,Yes,Vehicle,2499894.23,36.0,76385.66,Defaulted,2023-09-20,2305593.61,Yes,2023-08-26,9,Agent,No,Verified,2021-04-07,No,No,No,,No,No,2,Referral,Friend,Ignored,Yes,45-54,5.136477517110426,True,True,True
FSL-0032,Catherine Davis,866955295V,Female,1986-07-14,37,Trincomalee,Eastern,Urban,Regular,2019-03-02,7.2,104509.96,3556.4,1120.32,2436.08,Inactive,Standard,No,,,,,,,,No,,1,App,No,Verified,2023-12-06,No,No,Yes,1897896.91,No,Yes,3,Digital,Family,Unsubscribed,Yes,35-44,,True,False,False
FSL-0033,Jeffrey Torres,966273531V,Female,1996-05-06,27,Kurunegala,North Western,Suburban,Starter,2021-11-26,4.4,64176.8,4947.47,1581.36,3366.1100000000006,Active,Standard,Yes,Housing,2573578.07,12.0,235911.32,Defaulted,2022-12-07,1448399.4,No,,2,App,Yes,Verified,2020-09-07,No,No,Yes,503001.05,No,No,3,Digital,Colleague,Responded,Yes,25-34,22.568894055172585,True,False,True
FSL-0034,Susan Jones,961124538V,Male,2020-05-01,4,Galle,Southern,Urban,Premium,2021-09-07,4.6,512759.98,36664.58,14182.33,22482.25,Active,Silver,Yes,Housing,374282.73,12.0,34309.25,On-Time,2022-09-08,288754.25,Yes,2023-08-22,3,Branch,Yes,Verified,2022-05-12,No,No,No,,No,No,2,Digital,,Ignored,No,,0.5631372596589929,True,True,False
FSL-0035,David Reed,907001510V,Female,1990-07-19,33,Colombo,Western,Rural,Starter,2019-10-13,6.5,104484.14,5163.2,4367.14,796.0599999999995,Active,Standard,Yes,Housing,243762.59,36.0,7448.3,On-Time,2023-01-23,137994.73,Yes,2023-10-31,35,Online,Yes,Verified,2020-07-22,No,No,No,,No,No,2,Branch,,Ignored,No,25-34,1.3207241788083819,True,True,False
FSL-0036,Melissa Nelson,887422557V,Female,1988-08-29,35,Jaffna,Northern,Suburban,Regular,2019-03-14,7.1,763802.16,46751.77,27329.25,19422.519999999997,Active,Silver,Yes,Business,334865.08,36.0,10231.99,Delayed,2022-04-26,50559.21,No,,4,Online,No,Verified,2023-09-24,No,No,No,,Yes,Yes,4,Referral,Colleague,Responded,No,35-44,0.06619411759715368,True,False,False
FSL-0037,Joshua Collins,805232773V,Female,1980-01-23,43,Jaffna,Northern,Rural,Regular,2023-07-21,2.8,237283.21,7965.49,4440.5,3524.99,Active,Silver,No,,,,,,,,Yes,2023-11-20,3,Online,Yes,Verified,2021-09-24,No,No,Yes,372177.83,No,Yes,3,Digital,Friend,Ignored,No,35-44,,True,False,False
FSL-0038,George Nelson,775227062V,Female,1977-01-22,46,Matara,Southern,Suburban,Regular,2021-05-13,5.0,485054.54,35409.24,13928.15,21481.089999999997,Inactive,Silver,Yes,Personal,852703.39,48.0,19541.12,On-Time,2022-08-08,385469.83,Yes,2023-10-10,9,Online,Yes,Verified,2023-10-21,No,No,No,,Yes,No,3,Digital,Friend,Responded,No,45-54,0.7946937884552118,True,False,False
FSL-0039,Paul Bell,828606375V,Female,1982-12-26,41,Gampaha,Western,Urban,Regular,2016-12-20,9.4,120764.85,17694.735,2748.57,14946.165,Active,Standard,No,,,,,,,,Yes,2023-09-10,4,Agent,Yes,Expired,2021-10-03,No,No,No,,No,Yes,2,Digital,Colleague,Responded,No,35-44,,True,True,False
FSL-0040,Jeffrey Morris,738488155V,Female,1973-12-14,50,Gampaha,Western,Urban,Regular,2020-11-16,5.5,81344.73,5875.65,4391.95,1483.6999999999998,Active,Standard,No,,,,,,,,Yes,2023-11-10,9,Branch,No,Verified,2023-08-14,No,No,Yes,474816.43,No,No,2,Digital,Family,Unsubscribed,No,45-54,,True,False,False
FSL-0041,Gary Bell,007036295V,Female,2000-07-21,23,Jaffna,Northern,Urban,Premium,2019-12-17,6.4,3341233.04,226468.04,148303.02,78165.02000000002,Active,Gold,Yes,Business,,12.0,126788.37,On-Time,2021-07-26,228525.23,No,,0,Agent,Yes,Verified,2020-03-25,No,No,No,,No,Yes,3,Branch,Friend,Ignored,No,18-24,0.06839547773656639,True,True,False
FSL-0042,Melissa Morgan,922323827V,Male,1992-08-19,31,Colombo,Western,Urban,Regular,2019-12-05,6.4,428773.47,24263.57,12576.75,11686.82,Inactive,Silver,Yes,Vehicle,2052748.28,12.0,188168.59,Delayed,2023-07-22,789183.07,Yes,2023-10-21,26,Online,Yes,Expired,2023-05-19,No,No,No,,Yes,Yes,4,Agent,Family,Ignored,No,25-34,1.8405594683831534,True,False,False
FSL-0043,Donna Carter,988166381V,Male,1998-11-12,25,Kandy,Central,Suburban,Starter,2023-04-15,3.0,149588.8,11181.3,3981.35,7199.949999999999,Active,Standard,No,,,,,,,,Yes,2023-08-19,13,Branch,Yes,Pending,2021-01-28,No,No,Yes,1704413.94,Yes,No,3,Digital,,Ignored,No,25-34,,True,False,False
FSL-0044,Steven Phillips,768373658V,Female,1976-12-02,47,Kandy,Central,Rural,Regular,2016-11-09,9.5,582522.74,13177.56,6833.61,6343.95,Active,Silver,No,,,,,,,,Yes,2023-12-10,30,Branch,Yes,Verified,2022-08-18,No,No,No,,No,Yes,2,Referral,,Ignored,No,45-54,,True,True,False
FSL-0045,Mary Jackson,810791854V,Male,1981-03-20,42,Ratnapura,Sabaragamuwa,Rural,Regular,2016-02-25,10.2,574892.76,29293.41,10979.37,18314.04,Active,Silver,Yes,Business,2720653.32,24.0,124696.61,Delayed,2017-03-06,2460698.36,Yes,2023-09-24,24,App,Yes,Verified,2022-02-04,No,No,No,,Yes,No,3,Referral,Family,Responded,No,35-44,4.28027369835028,True,False,False
FSL-0046,Nicole Morris,012378685V,Male,2001-08-25,22,Ratnapura,Sabaragamuwa,Suburban,Starter,2015-03-19,11.1,42108.97,2951.75,1857.48,1094.27,Active,Standard,No,,,,,,,,Yes,2023-08-13,17,Online,Yes,Verified,2023-08-01,No,No,Yes,1819779.08,No,Yes,3,Branch,,Responded,No,18-24,,True,False,False
FSL-0047,Stephanie Martin,786472402V,Female,1978-05-27,45,Badulla,Uva,Rural,Premium,2020-11-24,5.4,2948368.82,198085.39,119757.19,78328.20000000001,Active,Gold,No,,,,,,,,Yes,2023-09-08,25,Online,No,Verified,2020-05-18,No,No,No,,No,No,1,Referral,Family,Responded,No,45-54,,True,True,False
FSL-0048,Jennifer Murphy,015718840V,Female,2001-03-12,22,Kandy,Central,Rural,Premium,2023-09-15,2.6,4746223.18,105456.46,44392.38,61064.08000000001,Inactive,Gold,No,,,,,,,,Yes,2023-08-19,34,Agent,No,Verified,2021-06-02,Yes,No,Yes,1738063.21,Yes,No,3,Referral,Friend,Ignored,No,18-24,,True,False,False
FSL-0049,Kevin Cook,876266554V,Female,1987-05-06,36,Kandy,Central,Suburban,Regular,2023-12-10,2.4,425035.17,28931.67,21300.91,7630.759999999998,Active,Silver,No,,,,,,2010-01-01,,No,,4,Online,Yes,Verified,2023-09-15,No,No,No,,Yes,Yes,3,Agent,Friend,Ignored,No,35-44,,True,False,False
FSL-0050,Ronald Moore,731347655V,Male,1973-05-14,50,Jaffna,Northern,Suburban,Regular,2016-10-17,9.5,763175.73,21801.46,14488.02,7313.439999999999,Inactive,Silver,Yes,Personal,746186.37,36.0,22800.14,On-Time,2023-02-26,95159.3,Yes,2023-09-24,25,Online,Yes,Verified,2020-10-08,No,No,No,,Yes,Yes,4,Branch,,Ignored,No,45-54,0.1246885825365542,True,False,False
FSL-0051,Donald Thompson,017128311V,Female,2001-07-31,22,Unknown,Southern,Rural,Regular,2020-07-04,5.8,176139.11,4957.21,1707.42,3249.79,Active,Standard,No,,,,,,,,No,,5,Online,No,Pending,2023-01-31,No,No,No,,No,No,1,Branch,Colleague,Ignored,Yes,18-24,,True,True,False
FSL-0052,Elizabeth Wilson,920601430V,Male,1992-02-29,31,Jaffna,Northern,Suburban,Regular,2021-03-09,5.1,121221.56,8855.82,3006.1,5849.719999999999,Active,Standard,No,,,,,,,,Yes,2023-09-14,28,App,Yes,Verified,2020-05-31,No,No,No,,No,No,1,Branch,Family,Ignored,No,25-34,,True,True,False
FSL-0053,Joseph Davis,832353697V,Male,1983-08-23,40,Kandy,Central,Urban,Regular,2018-11-18,7.4,759036.85,38812.49,18258.52,20553.969999999998,Active,Silver,Yes,Vehicle,419252.37,36.0,12810.49,On-Time,2019-05-28,221024.47,Yes,2023-10-27,11,Branch,No,Pending,2023-05-24,No,No,Yes,1741184.26,Yes,No,4,Referral,,Responded,No,35-44,0.29119069779023243,True,False,False
FSL-0054,Michael Hall,987915949V,Female,1998-10-18,25,Ratnapura,Sabaragamuwa,Urban,Starter,2019-07-22,6.8,48127.91,1173.28,394.16,779.1199999999999,Active,Standard,No,,,,,,,,Yes,2023-11-03,11,Online,No,Verified,2021-12-08,No,No,No,,No,Yes,2,Agent,Friend,Responded,No,25-34,,True,True,False
FSL-0055,Matthew Brown,875857850V,Female,1987-03-26,36,Galle,Southern,Rural,Starter,2018-09-03,7.7,140393.97,8882.4,3676.43,5205.969999999999,Active,Standard,No,,,,,,,,Yes,2023-08-18,33,App,Yes,Verified,2022-07-25,No,No,No,,Yes,Yes,3,Agent,Colleague,Ignored,No,35-44,,True,False,False
FSL-0056,Ronald Wilson,027326992V,Female,2002-08-20,21,Kurunegala,North Western,Urban,Regular,2021-05-24,4.9,448866.68,19131.22,9052.15,10079.070000000002,Active,Silver,No,,,,,,,,Yes,2023-12-29,9,Branch,No,Verified,2021-11-25,Yes,No,Yes,1244679.61,No,Yes,3,Digital,Family,Ignored,No,18-24,,True,False,False
FSL-0057,Carolyn Nelson,970719446V,Male,1997-03-12,26,Kandy,Central,Urban,Regular,2016-10-27,9.5,326504.58,18607.51,14989.49,3618.0199999999986,Active,Silver,No,,,,,,,,Yes,2023-10-04,21,Agent,No,Verified,2023-10-11,No,No,No,,No,No,1,Digital,,Ignored,No,25-34,,True,True,False
FSL-0058,Karen Reed,960658871V,Male,1996-03-05,27,Kandy,Central,Suburban,Regular,2023-09-08,2.6,676110.36,19516.97,13826.53,5690.4400000000005,Active,Silver,No,,,,,,,,Yes,2023-06-05,30,Online,Yes,Verified,2021-02-21,No,No,No,,No,No,1,Digital,,Responded,No,25-34,,True,True,False
FSL-0059,Carol Collins,937097173V,Female,1993-07-28,30,Jaffna,Northern,Rural,Regular,2020-12-23,5.4,287015.07,11841.44,9037.31,2804.130000000001,Active,Silver,No,,,,,,,,No,,4,Agent,Yes,Verified,2023-02-16,No,No,No,,No,No,1,Agent,Colleague,Ignored,No,25-34,,True,True,False
FSL-0060,Ashley Young,952659899V,Male,1995-09-22,28,Kurunegala,North Western,Rural,Regular,2018-11-14,7.5,764594.91,52204.21,24758.97,27445.239999999998,Active,Silver,No,,,,,,,,Yes,2023-09-22,18,Agent,Yes,Pending,2021-07-09,No,No,Yes,1269786.37,No,Yes,3,Branch,,Responded,Yes,25-34,,True,False,False
FSL-0061,Amanda Morgan,746873252V,Female,1974-07-06,99,Colombo,Western,Rural,Starter,2016-10-08,9.6,64001.58,4870.64,4028.21,842.4300000000003,Active,Standard,Yes,Vehicle,997444.72,12.0,91432.43,Defaulted,2017-10-09,652781.61,Yes,2023-12-07,4,Branch,Yes,Pending,2020-03-15,No,No,No,,No,No,2,Referral,Friend,Responded,No,65+,10.19946085706009,True,True,True
FSL-0062,Anthony Wright,906409901V,Female,1990-05-20,33,Badulla,Uva,Suburban,Starter,2020-08-27,5.7,72863.01,2300.19,845.52,1454.67,Active,Standard,No,,,,,,,,Yes,2023-07-18,2,Online,No,Verified,2021-01-30,No,No,No,,No,No,1,Digital,,Ignored,Yes,25-34,,True,True,False
FSL-0063,Paul Baker,815471111V,Female,1981-02-16,42,Matara,Southern,Urban,Regular,2017-12-29,8.3,764147.16,29126.81,21371.2,7755.610000000001,Active,Silver,No,,,,,,,,No,,0,App,Yes,Verified,2023-11-06,No,No,No,,No,Yes,2,Referral,Colleague,Ignored,No,35-44,,True,True,False
FSL-0064,Paul Baker,901507121V,Male,1990-05-30,33,Kurunegala,North Western,Suburban,Starter,2023-06-30,2.8,82940.06,4963.6,2139.54,2824.0600000000004,Active,Standard,No,,,,,,,,No,,0,Agent,Yes,Verified,2023-03-01,No,No,No,,Yes,No,2,Branch,Colleague,Unsubscribed,No,25-34,,True,False,False
FSL-0065,Susan Morgan,745299361V,Female,1974-01-29,49,Ratnapura,Sabaragamuwa,Rural,Regular,2020-10-03,5.6,344031.17,18520.8,11765.86,6754.939999999999,Active,Silver,Yes,Personal,1218048.69,12.0,111654.46,Delayed,2023-12-31,197415.36,Yes,2023-11-27,6,App,No,Verified,2022-08-24,Yes,No,No,,No,No,2,Agent,Colleague,Unsubscribed,No,45-54,0.5738298654741081,True,True,False
FSL-0066,Laura Nguyen,002299835V,Male,2000-08-16,23,Kandy,Central,Suburban,Regular,2017-01-01,9.3,794420.49,34623.64,13032.62,21591.019999999997,Suspended,Silver,No,,,,,,,,No,,2,Agent,No,Unknown,2022-12-25,No,No,No,,Yes,Yes,3,Digital,Friend,Ignored,No,18-24,,True,False,False
FSL-0067,Robert Martin,730072653V,Male,1973-01-07,51,Trincomalee,Eastern,Urban,Regular,2022-11-20,3.4,700325.69,24290.13,7931.75,16358.380000000001,Active,Silver,No,,,,,,,,No,,0,Branch,Yes,Verified,2023-03-25,No,No,No,,No,Yes,2,Branch,,Ignored,No,45-54,,True,True,False
FSL-0068,,980307999V,Male,1998-01-30,25,Badulla,Uva,Suburban,Starter,2022-03-20,4.1,102344.67,6872.27,3375.94,3496.3300000000004,Active,Standard,Yes,Business,592442.99,60.0,10861.45,On-Time,2022-11-05,210688.1,No,,3,App,No,Expired,2023-02-15,No,No,Yes,727499.69,Yes,Yes,5,Referral,Friend,Ignored,No,25-34,2.0586133112745393,True,False,False
FSL-0069,Richard Moore,005811647V,Female,2000-03-21,23,Gampaha,Western,Urban,Regular,2023-02-14,3.2,543731.41,17954.55,7636.67,10317.88,Inactive,Silver,Yes,Personal,674832.93,24.0,30929.84,Defaulted,2023-04-15,495899.19,No,,1,Branch,Yes,Verified,2021-10-20,No,No,No,,No,Yes,3,Agent,,Responded,No,18-24,0.9120296912771693,True,True,False
FSL-0070,Nicole Bell,795427073V,Female,1979-02-11,44,Jaffna,Northern,Suburban,Regular,2017-06-25,8.8,598176.86,12545.68,7928.71,4616.97,Active,Silver,No,,,,,,,,Yes,2023-07-21,23,Branch,Yes,Pending,2022-10-19,No,No,No,,No,Yes,2,Agent,,Responded,No,35-44,,True,True,False
